name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
DRIFT,DRIFT,0.076136,181.15609198,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0986025,181.24300398,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV2_D1814,CAV,0.3,181.44276248,0.034,0.034,CB10,CAV_B08,LS1,D1814,CAV2,b08 resonator
DRIFT,DRIFT,0.097688,181.64160648,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV3_D1818,CAV,0.3,181.84045048,0.034,0.034,CB10,CAV_B08,LS1,D1818,CAV3,b08 resonator
DRIFT,DRIFT,0.097688,182.03929448,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:CAV4_D1822,CAV,0.3,182.23813848,0.034,0.034,CB10,CAV_B08,LS1,D1822,CAV4,b08 resonator
LS1_CB10:BLM_D1824,BLM,0.0,182.38722398,0.034,0.034,CB10,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,182.4363934,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB10:BPM_D1825,BPM,0.0,182.48373382,0.04,0.04,CB10,BPM6,LS1,D1825,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,182.51167382,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,182.57768182,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB10:SOL2_D1829,SOLCOR,0.5,182.86574982,0.04,0.04,CB10,SOL_S2,LS1,D1829,SOL2,solenoid+correctors
LS1_CB10:DCH_D1829,HCOR,0.0,182.86574982,0.04,0.04,CB10,S2,LS1,D1829,DCH,horiz. corrector magnet
LS1_CB10:DCV_D1829,VCOR,0.0,182.86574982,0.04,0.04,CB10,S2,LS1,D1829,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,183.15381782,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
