s,name,pv_x,pv_y,pv_pha,pv_mag,pv_x_ref,pv_y_ref,pv_pha_ref,pv_mag_ref,pv_dx_ref,pv_dy_ref,pv_dpha_ref,pv_mag_ratio
134.959632,LS1_WB02:BPM_D1350,LS1_WB02:BPM_D1350:XPOS_RD,LS1_WB02:BPM_D1350:YPOS_RD,LS1_WB02:BPM_D1350:PHASE_RD,LS1_WB02:BPM_D1350:MAG_RD,LS1_WB02:BPM_D1350:XPOS_REF_RD,LS1_WB02:BPM_D1350:YPOS_REF_RD,LS1_WB02:BPM_D1350:PHASE_REF_RD,LS1_WB02:BPM_D1350:MAG_REF_RD,LS1_WB02:BPM_D1350:XPOS_DRDREF,LS1_WB02:BPM_D1350:YPOS_DRDREF,LS1_WB02:BPM_D1350:PHASE_DRDREF,LS1_WB02:BPM_D1350:MAG_RATIO
135.879036,LS1_CB03:BPM_D1359,LS1_CB03:BPM_D1359:XPOS_RD,LS1_CB03:BPM_D1359:YPOS_RD,LS1_CB03:BPM_D1359:PHASE_RD,LS1_CB03:BPM_D1359:MAG_RD,LS1_CB03:BPM_D1359:XPOS_REF_RD,LS1_CB03:BPM_D1359:YPOS_REF_RD,LS1_CB03:BPM_D1359:PHASE_REF_RD,LS1_CB03:BPM_D1359:MAG_REF_RD,LS1_CB03:BPM_D1359:XPOS_DRDREF,LS1_CB03:BPM_D1359:YPOS_DRDREF,LS1_CB03:BPM_D1359:PHASE_DRDREF,LS1_CB03:BPM_D1359:MAG_RATIO
137.876762,LS1_CB03:BPM_D1379,LS1_CB03:BPM_D1379:XPOS_RD,LS1_CB03:BPM_D1379:YPOS_RD,LS1_CB03:BPM_D1379:PHASE_RD,LS1_CB03:BPM_D1379:MAG_RD,LS1_CB03:BPM_D1379:XPOS_REF_RD,LS1_CB03:BPM_D1379:YPOS_REF_RD,LS1_CB03:BPM_D1379:PHASE_REF_RD,LS1_CB03:BPM_D1379:MAG_REF_RD,LS1_CB03:BPM_D1379:XPOS_DRDREF,LS1_CB03:BPM_D1379:YPOS_DRDREF,LS1_CB03:BPM_D1379:PHASE_DRDREF,LS1_CB03:BPM_D1379:MAG_RATIO
139.874488,LS1_CB03:BPM_D1399,LS1_CB03:BPM_D1399:XPOS_RD,LS1_CB03:BPM_D1399:YPOS_RD,LS1_CB03:BPM_D1399:PHASE_RD,LS1_CB03:BPM_D1399:MAG_RD,LS1_CB03:BPM_D1399:XPOS_REF_RD,LS1_CB03:BPM_D1399:YPOS_REF_RD,LS1_CB03:BPM_D1399:PHASE_REF_RD,LS1_CB03:BPM_D1399:MAG_REF_RD,LS1_CB03:BPM_D1399:XPOS_DRDREF,LS1_CB03:BPM_D1399:YPOS_DRDREF,LS1_CB03:BPM_D1399:PHASE_DRDREF,LS1_CB03:BPM_D1399:MAG_RATIO
141.332056,LS1_WB03:BPM_D1413,LS1_WB03:BPM_D1413:XPOS_RD,LS1_WB03:BPM_D1413:YPOS_RD,LS1_WB03:BPM_D1413:PHASE_RD,LS1_WB03:BPM_D1413:MAG_RD,LS1_WB03:BPM_D1413:XPOS_REF_RD,LS1_WB03:BPM_D1413:YPOS_REF_RD,LS1_WB03:BPM_D1413:PHASE_REF_RD,LS1_WB03:BPM_D1413:MAG_REF_RD,LS1_WB03:BPM_D1413:XPOS_DRDREF,LS1_WB03:BPM_D1413:YPOS_DRDREF,LS1_WB03:BPM_D1413:PHASE_DRDREF,LS1_WB03:BPM_D1413:MAG_RATIO
142.251461,LS1_CB04:BPM_D1423,LS1_CB04:BPM_D1423:XPOS_RD,LS1_CB04:BPM_D1423:YPOS_RD,LS1_CB04:BPM_D1423:PHASE_RD,LS1_CB04:BPM_D1423:MAG_RD,LS1_CB04:BPM_D1423:XPOS_REF_RD,LS1_CB04:BPM_D1423:YPOS_REF_RD,LS1_CB04:BPM_D1423:PHASE_REF_RD,LS1_CB04:BPM_D1423:MAG_REF_RD,LS1_CB04:BPM_D1423:XPOS_DRDREF,LS1_CB04:BPM_D1423:YPOS_DRDREF,LS1_CB04:BPM_D1423:PHASE_DRDREF,LS1_CB04:BPM_D1423:MAG_RATIO
144.249187,LS1_CB04:BPM_D1442,LS1_CB04:BPM_D1442:XPOS_RD,LS1_CB04:BPM_D1442:YPOS_RD,LS1_CB04:BPM_D1442:PHASE_RD,LS1_CB04:BPM_D1442:MAG_RD,LS1_CB04:BPM_D1442:XPOS_REF_RD,LS1_CB04:BPM_D1442:YPOS_REF_RD,LS1_CB04:BPM_D1442:PHASE_REF_RD,LS1_CB04:BPM_D1442:MAG_REF_RD,LS1_CB04:BPM_D1442:XPOS_DRDREF,LS1_CB04:BPM_D1442:YPOS_DRDREF,LS1_CB04:BPM_D1442:PHASE_DRDREF,LS1_CB04:BPM_D1442:MAG_RATIO
146.246913,LS1_CB04:BPM_D1462,LS1_CB04:BPM_D1462:XPOS_RD,LS1_CB04:BPM_D1462:YPOS_RD,LS1_CB04:BPM_D1462:PHASE_RD,LS1_CB04:BPM_D1462:MAG_RD,LS1_CB04:BPM_D1462:XPOS_REF_RD,LS1_CB04:BPM_D1462:YPOS_REF_RD,LS1_CB04:BPM_D1462:PHASE_REF_RD,LS1_CB04:BPM_D1462:MAG_REF_RD,LS1_CB04:BPM_D1462:XPOS_DRDREF,LS1_CB04:BPM_D1462:YPOS_DRDREF,LS1_CB04:BPM_D1462:PHASE_DRDREF,LS1_CB04:BPM_D1462:MAG_RATIO
147.704481,LS1_WB04:BPM_D1477,LS1_WB04:BPM_D1477:XPOS_RD,LS1_WB04:BPM_D1477:YPOS_RD,LS1_WB04:BPM_D1477:PHASE_RD,LS1_WB04:BPM_D1477:MAG_RD,LS1_WB04:BPM_D1477:XPOS_REF_RD,LS1_WB04:BPM_D1477:YPOS_REF_RD,LS1_WB04:BPM_D1477:PHASE_REF_RD,LS1_WB04:BPM_D1477:MAG_REF_RD,LS1_WB04:BPM_D1477:XPOS_DRDREF,LS1_WB04:BPM_D1477:YPOS_DRDREF,LS1_WB04:BPM_D1477:PHASE_DRDREF,LS1_WB04:BPM_D1477:MAG_RATIO
148.623885,LS1_CB05:BPM_D1486,LS1_CB05:BPM_D1486:XPOS_RD,LS1_CB05:BPM_D1486:YPOS_RD,LS1_CB05:BPM_D1486:PHASE_RD,LS1_CB05:BPM_D1486:MAG_RD,LS1_CB05:BPM_D1486:XPOS_REF_RD,LS1_CB05:BPM_D1486:YPOS_REF_RD,LS1_CB05:BPM_D1486:PHASE_REF_RD,LS1_CB05:BPM_D1486:MAG_REF_RD,LS1_CB05:BPM_D1486:XPOS_DRDREF,LS1_CB05:BPM_D1486:YPOS_DRDREF,LS1_CB05:BPM_D1486:PHASE_DRDREF,LS1_CB05:BPM_D1486:MAG_RATIO
