2017-02-06 12:02:20 [ model ] set LS1_CB03:DCV_D1383:ANG             with     3.868267e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV5_D1388:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV5_D1388:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV5_D1388:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV6_D1392:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV6_D1392:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV6_D1392:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV7_D1396:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV7_D1396:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV7_D1396:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB03:SOL3_D1403:B              with     6.120000e+00 which was     6.120000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:DCH_D1403:ANG             with     3.232603e-05 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:DCV_D1403:ANG             with     3.459475e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV8_D1408:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV8_D1408:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB03:CAV8_D1408:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV1_D1420:PHA            with    -4.000000e+01 which was    -4.000000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV1_D1420:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV1_D1420:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB04:SOL1_D1426:B              with     6.150000e+00 which was     6.150000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:DCH_D1426:ANG             with    -3.039246e-06 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:DCV_D1426:ANG             with     2.708503e-04 which was     0.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV2_D1432:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV2_D1432:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV2_D1432:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV3_D1436:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV3_D1436:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV3_D1436:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV4_D1440:PHA            with    -2.100000e+01 which was    -2.100000e+01
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV4_D1440:AMP            with     1.000000e+00 which was     1.000000e+00
2017-02-06 12:02:20 [ model ] set LS1_CB04:CAV4_D1440:FREQ           with     8.050000e+07 which was     8.050000e+07
2017-02-06 12:02:20 [ model ] set LS1_CB04:SOL2_D1446:B              with     5.700000e+00 which was     5.700000e+00
