PV,elemField,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine
V2:LS1_CA01:CAV4_D1150:PHA_RD,PHA,readback,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV4_D1150:AMPL_CSET,AMP,setpoint,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV4_D1150:AMPL_RSET,AMP,readset,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_CA01:CAV4_D1150:AMPL_RD,AMP,readback,23,0.24,LS1_CA01:CAV4_D1150,2.78603118,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA01,T_A,T_B
V2:LS1_WA01:BPM_D1155:X_RD,X,readback,27,0.0,LS1_WA01:BPM_D1155,3.10909468,BPM,V2,phyutil.sys.LS1,phyutil.sub.WA01,T_A,T_B
V2:LS1_WA01:BPM_D1155:Y_RD,Y,readback,27,0.0,LS1_WA01:BPM_D1155,3.10909468,BPM,V2,phyutil.sys.LS1,phyutil.sub.WA01,T_A,T_B
V2:LS1_WA01:BPM_D1155:PHA_RD,PHA,readback,27,0.0,LS1_WA01:BPM_D1155,3.10909468,BPM,V2,phyutil.sys.LS1,phyutil.sub.WA01,T_A,T_B
V2:LS1_WA01:BPM_D1155:ENG_RD,ENG,readback,27,0.0,LS1_WA01:BPM_D1155,3.10909468,BPM,V2,phyutil.sys.LS1,phyutil.sub.WA01,T_A,T_B
V2:LS1_CA02:CAV1_D1161:PHA_CSET,PHA,setpoint,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV1_D1161:PHA_RSET,PHA,readset,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV1_D1161:PHA_RD,PHA,readback,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV1_D1161:AMPL_CSET,AMP,setpoint,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV1_D1161:AMPL_RSET,AMP,readset,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV1_D1161:AMPL_RD,AMP,readback,35,0.24,LS1_CA02:CAV1_D1161,3.82015818,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:BPM_D1163:X_RD,X,readback,38,0.0,LS1_CA02:BPM_D1163,3.88442152,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:BPM_D1163:Y_RD,Y,readback,38,0.0,LS1_CA02:BPM_D1163,3.88442152,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:BPM_D1163:PHA_RD,PHA,readback,38,0.0,LS1_CA02:BPM_D1163,3.88442152,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:BPM_D1163:ENG_RD,ENG,readback,38,0.0,LS1_CA02:BPM_D1163,3.88442152,BPM,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:SOL1_D1165:B_CSET,B,setpoint,41,0.2,LS1_CA02:SOL1_D1165,4.21642502,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:SOL1_D1165:B_RSET,B,readset,41,0.2,LS1_CA02:SOL1_D1165,4.21642502,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:SOL1_D1165:B_RD,B,readback,41,0.2,LS1_CA02:SOL1_D1165,4.21642502,SOL,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCH_D1165:ANG_CSET,ANG,setpoint,41,0.0,LS1_CA02:DCH_D1165,4.11642502,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCH_D1165:ANG_RSET,ANG,readset,41,0.0,LS1_CA02:DCH_D1165,4.11642502,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCH_D1165:ANG_RD,ANG,readback,41,0.0,LS1_CA02:DCH_D1165,4.11642502,HCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCV_D1165:ANG_CSET,ANG,setpoint,41,0.0,LS1_CA02:DCV_D1165,4.11642502,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCV_D1165:ANG_RSET,ANG,readset,41,0.0,LS1_CA02:DCV_D1165,4.11642502,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:DCV_D1165:ANG_RD,ANG,readback,41,0.0,LS1_CA02:DCV_D1165,4.11642502,VCOR,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:PHA_CSET,PHA,setpoint,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:PHA_RSET,PHA,readset,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:PHA_RD,PHA,readback,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:AMPL_CSET,AMP,setpoint,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:AMPL_RSET,AMP,readset,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV2_D1169:AMPL_RD,AMP,readback,44,0.24,LS1_CA02:CAV2_D1169,4.59981902,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV3_D1176:PHA_CSET,PHA,setpoint,46,0.24,LS1_CA02:CAV3_D1176,5.37946502,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV3_D1176:PHA_RSET,PHA,readset,46,0.24,LS1_CA02:CAV3_D1176,5.37946502,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV3_D1176:PHA_RD,PHA,readback,46,0.24,LS1_CA02:CAV3_D1176,5.37946502,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV3_D1176:AMPL_CSET,AMP,setpoint,46,0.24,LS1_CA02:CAV3_D1176,5.37946502,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
V2:LS1_CA02:CAV3_D1176:AMPL_RSET,AMP,readset,46,0.24,LS1_CA02:CAV3_D1176,5.37946502,CAV,V2,phyutil.sys.LS1,phyutil.sub.CA02,T_A,T_B
